governorate,bank,date,gender,sale_type,count
Al Jawf,AMB,2025-05-15,male,cash_sales,0.0
Al Jawf,AMB,2025-05-15,male,credit_sales,0.0
Al Jawf,AMB,2025-05-15,male,first_borrowers_only,0.0
Al Jawf,AMP,2025-05-15,female,cash_sales,0.0
Al Jawf,AMP,2025-05-15,female,credit_sales,0.0
Al Jawf,AMP,2025-05-15,female,first_borrowers_only,0.0
Al Jawf,AMP,2025-05-15,male,cash_sales,0.0
Al Jawf,AMP,2025-05-15,male,credit_sales,0.0
Al Jawf,AMP,2025-05-15,male,first_borrowers_only,0.0
Al Jawf,Azal,2025-05-15,female,cash_sales,0.0
Al Jawf,Azal,2025-05-15,female,credit_sales,0.0
Al Jawf,Azal,2025-05-15,female,first_borrowers_only,0.0
Al Jawf,Azal,2025-05-15,male,cash_sales,0.0
Al Jawf,Azal,2025-05-15,male,credit_sales,0.0
Al Jawf,Azal,2025-05-15,male,first_borrowers_only,0.0
Al Jawf,KIMB,2025-05-15,female,cash_sales,0.0
Al Jawf,KIMB,2025-05-15,female,credit_sales,
Al Jawf,KIMB,2025-05-15,female,first_borrowers_only,
Al Jawf,KIMB,2025-05-15,male,cash_sales,0.0
Al Jawf,KIMB,2025-05-15,male,credit_sales,
Al Jawf,KIMB,2025-05-15,male,first_borrowers_only,
Al Jawf,NMF,2025-05-15,female,cash_sales,0.0
Al Jawf,NMF,2025-05-15,female,credit_sales,0.0
Al Jawf,NMF,2025-05-15,female,first_borrowers_only,0.0
Al Jawf,NMF,2025-05-15,male,cash_sales,0.0
Al Jawf,NMF,2025-05-15,male,credit_sales,0.0
Al Jawf,NMF,2025-05-15,male,first_borrowers_only,0.0
Al Jawf,TIIB,2025-05-15,female,cash_sales,0.0
Al Jawf,TIIB,2025-05-15,female,credit_sales,0.0
Al Jawf,TIIB,2025-05-15,female,first_borrowers_only,0.0
Al Jawf,TIIB,2025-05-15,male,cash_sales,0.0
Al Jawf,TIIB,2025-05-15,male,credit_sales,0.0
Al Jawf,TIIB,2025-05-15,male,first_borrowers_only,0.0
Al Jawf,YKB,2025-05-15,female,cash_sales,0.0
Al Jawf,YKB,2025-05-15,female,credit_sales,0.0
Al Jawf,YKB,2025-05-15,female,first_borrowers_only,0.0
Al Jawf,YKB,2025-05-15,male,cash_sales,0.0
Al Jawf,YKB,2025-05-15,male,credit_sales,0.0
Al Jawf,YKB,2025-05-15,male,first_borrowers_only,0.0
Al Maharah,AMB,2025-05-15,female,cash_sales,0.0
Al Maharah,AMB,2025-05-15,female,credit_sales,0.0
Al Maharah,AMB,2025-05-15,female,first_borrowers_only,0.0
Al Maharah,AMB,2025-05-15,male,cash_sales,0.0
Al Maharah,AMB,2025-05-15,male,credit_sales,0.0
Al Maharah,AMB,2025-05-15,male,first_borrowers_only,0.0
Al Maharah,AMP,2025-05-15,female,cash_sales,0.0
Al Maharah,AMP,2025-05-15,female,credit_sales,0.0
Al Maharah,AMP,2025-05-15,female,first_borrowers_only,0.0
Al Maharah,AMP,2025-05-15,male,cash_sales,0.0
Al Maharah,AMP,2025-05-15,male,credit_sales,0.0
Al Maharah,AMP,2025-05-15,male,first_borrowers_only,0.0
Al Maharah,Azal,2025-05-15,female,cash_sales,0.0
Al Maharah,Azal,2025-05-15,female,credit_sales,0.0
Al Maharah,Azal,2025-05-15,female,first_borrowers_only,0.0
Al Maharah,Azal,2025-05-15,male,cash_sales,0.0
Al Maharah,Azal,2025-05-15,male,credit_sales,0.0
Al Maharah,Azal,2025-05-15,male,first_borrowers_only,0.0
Al Maharah,KIMB,2025-05-15,female,cash_sales,0.0
Al Maharah,KIMB,2025-05-15,female,credit_sales,
Al Maharah,KIMB,2025-05-15,female,first_borrowers_only,
Al Maharah,KIMB,2025-05-15,male,cash_sales,0.0
